Model,CV_Recall,Tuned_Recall,CV_Precision,Tuned_Precision,CV_F2,Tuned_F2
Random Forest,0.8882,0.6938,0.8911,0.6926,0.8888,0.6936
XGBoost,0.8701,0.8266,0.8972,0.5338,0.8754,0.7449
