Feature,Importance
market_segment,0.1078106143109919
country,0.09634033538669948
room_type_changed,0.08852499511058509
commitment_score,0.07065518122150348
adr_lead_interaction,0.06644980610549867
needs_parking,0.0629099009888585
lead_time,0.056202835041388385
lead_time_category,0.045562551789294366
lead_deposit_interaction,0.039926973553852434
has_special_requests,0.0351372466465868
has_booking_changes,0.0343722587446916
customer_type,0.03423503476130335
risk_score,0.022178265743548455
hotel_lead_interaction,0.019221874328592917
total_nights,0.018291186475174966
adr,0.016747769462042022
distribution_channel,0.016117959034500303
hotel,0.014411743802846422
has_previous_cancellation,0.01433494410625388
deposit_type,0.013748983441125705
total_revenue,0.010988855066077084
adr_per_person,0.010680091672730228
arrival_day_of_week,0.010136446516033674
adr_category,0.009147579584074597
stay_category,0.007687652644383655
arrival_week_of_year,0.007525091646573236
assigned_room_type,0.00695015901510421
arrival_season,0.006816629157168811
arrival_month,0.006764784742617094
weekend_ratio,0.006426373495723503
arrival_quarter,0.00552097610574791
has_agent,0.005463606177963665
meal,0.0047367760769090736
reserved_room_type,0.0039023656663759263
is_loyal_customer,0.0032817892225131874
is_holiday_season,0.002592923890274191
has_previous_booking,0.0024557454381202827
total_guests,0.00240552485043543
is_high_lead_time,0.0022638801785559437
is_high_price,0.002263460969743825
is_weekend_arrival,0.0017796537217983797
guest_type,0.0017657512166698072
is_family,0.0009087541267764845
is_high_risk_booking,0.0008641209654107369
is_solo,0.0008546999935427957
is_couple,0.000828104285830428
is_repeated_guest,0.0007349953504680827
is_long_stay,0.000714533443751623
was_on_waiting_list,0.00021377891793497052
is_group,0.00013919443549508372
is_low_risk_booking,5.241369857401171e-06
